Library                               Size (B)      Time_ns
------------------------------------------------------------
AES-128-GCM                                 16        37900
AES-128-GCM                                 16         3300
AES-128-GCM                                 16         2100
AES-128-GCM                                 16         6800
AES-128-GCM                                 16         2400
AES-128-GCM                                 16         1900
AES-128-GCM                                 16         1900
AES-128-GCM                                 16         2800
AES-128-GCM                                 16         2200
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1900
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1900
AES-128-GCM                                 16         2200
AES-128-GCM                                 16         1900
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1700
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1700
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         2300
AES-128-GCM                                 16         4600
AES-128-GCM                                 16         1900
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         2000
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1700
AES-128-GCM                                 16         1700
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1900
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1700
AES-128-GCM                                 16         2000
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1700
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1700
AES-128-GCM                                 16         1700
AES-128-GCM                                 16         1700
AES-128-GCM                                 16         1600
AES-128-GCM                                 16         1700
AES-128-GCM                                 16         1700
AES-128-GCM                                 16         1700
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1700
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1900
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1700
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1700
AES-128-GCM                                 16         1700
AES-128-GCM                                 16         1900
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         7600
AES-128-GCM                                 16         2100
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1900
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1900
AES-128-GCM                                 16         1700
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1900
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         2100
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1900
AES-128-GCM                                 16         1900
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1700
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1900
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1700
AES-128-GCM                                 16         1900
AES-128-GCM                                 16         1700
AES-128-GCM                                 16         1700
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1700
AES-128-GCM                                 16         1700
AES-128-GCM                                 16         1900
AES-128-GCM                                 16         1900
AES-128-GCM                                 16         1900
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1900
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1900
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1900
AES-128-GCM                                 16         1900
AES-128-GCM                                 16         1700
AES-128-GCM                                 16         1900
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1800
AES-128-GCM                                 16         1700
AES-128-GCM                                 16         1600
AES-128-GCM                                 16         1700
AES-128-GCM                                 16         1700
AES-128-GCM                                 16         1700
AES-128-GCM                                 16         1900
