Library                               Size (B)      Time_ns
------------------------------------------------------------
OpenSSL_1_1_1_AES128GCM                     16        33173
OpenSSL_1_1_1_AES128GCM                     16        34940
OpenSSL_1_1_1_AES128GCM                     16        35235
OpenSSL_1_1_1_AES128GCM                     16        36913
OpenSSL_1_1_1_AES128GCM                     16        33754
OpenSSL_1_1_1_AES128GCM                     16        35143
OpenSSL_1_1_1_AES128GCM                     16        33265
OpenSSL_1_1_1_AES128GCM                     16        35172
OpenSSL_1_1_1_AES128GCM                     16        34785
OpenSSL_1_1_1_AES128GCM                     16        34987
OpenSSL_1_1_1_AES128GCM                     16        32031
OpenSSL_1_1_1_AES128GCM                     16        33138
OpenSSL_1_1_1_AES128GCM                     16        40787
OpenSSL_1_1_1_AES128GCM                     16        35962
OpenSSL_1_1_1_AES128GCM                     16        34246
OpenSSL_1_1_1_AES128GCM                     16        34003
OpenSSL_1_1_1_AES128GCM                     16        35532
OpenSSL_1_1_1_AES128GCM                     16        35556
OpenSSL_1_1_1_AES128GCM                     16        33010
OpenSSL_1_1_1_AES128GCM                     16        35881
OpenSSL_1_1_1_AES128GCM                     16        33560
OpenSSL_1_1_1_AES128GCM                     16        35452
OpenSSL_1_1_1_AES128GCM                     16        33850
OpenSSL_1_1_1_AES128GCM                     16        33324
OpenSSL_1_1_1_AES128GCM                     16        34126
OpenSSL_1_1_1_AES128GCM                     16        31805
OpenSSL_1_1_1_AES128GCM                     16        33859
OpenSSL_1_1_1_AES128GCM                     16        34050
OpenSSL_1_1_1_AES128GCM                     16        32823
OpenSSL_1_1_1_AES128GCM                     16        33076
OpenSSL_1_1_1_AES128GCM                     16        35473
OpenSSL_1_1_1_AES128GCM                     16        38162
OpenSSL_1_1_1_AES128GCM                     16        35804
OpenSSL_1_1_1_AES128GCM                     16        36247
OpenSSL_1_1_1_AES128GCM                     16        40568
OpenSSL_1_1_1_AES128GCM                     16        36935
OpenSSL_1_1_1_AES128GCM                     16        36242
OpenSSL_1_1_1_AES128GCM                     16        37638
OpenSSL_1_1_1_AES128GCM                     16        37140
OpenSSL_1_1_1_AES128GCM                     16        35088
OpenSSL_1_1_1_AES128GCM                     16        36141
OpenSSL_1_1_1_AES128GCM                     16        36243
OpenSSL_1_1_1_AES128GCM                     16        35733
